model,model_family,parameterization,seed,method,baseline_type,predictor,bucket_size,num_chains,dimension,num_groups,observations_per_group,num_observations,num_features,time_length,kernel,input_dimension,data_seed,jitter,num_steps,step_size,max_tree_depth,hmc_num_leapfrog_steps,independent_baseline_kind,predictor_beta,time_seconds,speedup_vs_monolithic,t_mono,t_bucket,speedup,mono_total_leapfrog_count,mono_divergence_count,mono_max_realized_tree_depth,method_total_leapfrog_count,method_divergence_count,method_max_realized_tree_depth,bucket_total_leapfrog_count,bucket_divergence_count,bucket_max_realized_tree_depth,bucket_num_buckets,bucket_padding_count,bucket_padding_ratio,bucket_hvp_overhead_seconds,bucket_hvp_call_count,timing_breakdown_enabled,timing_cold_run_seconds,timing_cold_compile_seconds,timing_warm_iteration_seconds,timing_planner_seconds,timing_executor_seconds,timing_gather_seconds,timing_scatter_seconds,timing_hvp_seconds,timing_total_profiled_seconds,timing_unattributed_seconds,timing_profiler_marker_count
funnel,,,0,bucketed,bucketed_nuts,none,2,4,4,,,,,,,,,,1,0.03,2,,,0.9,0.6201046109199524,0.43447775531019034,0.26942165940999985,0.6201046109199524,0.43447775531019034,6,0,2,6,0,2,6,0,2,2,0,0.0,0.0,0,True,4.690723299980164,4.070618689060211,0.6201046109199524,0.005052879452705383,0.5077919736504555,0.007161378860473633,0.052004337310791016,0.0,0.5720105692744255,0.048094041645526886,0
funnel,,,0,bucketed,bucketed_nuts,none,4,4,4,,,,,,,,,,1,0.03,2,,,0.9,0.32601427286863327,0.8264106262567306,0.26942165940999985,0.32601427286863327,0.8264106262567306,6,0,2,6,0,2,6,0,2,1,0,0.0,0.0,0,True,0.9177308604121208,0.5917165875434875,0.32601427286863327,0.004641234874725342,0.2468426153063774,0.003429196774959564,0.024132966995239258,0.0,0.2790460139513016,0.046968258917331696,0
funnel,,,0,bucketed,bucketed_nuts,random,2,4,4,,,,,,,,,,1,0.03,2,,,0.9,0.5946617871522903,0.4530670462284171,0.26942165940999985,0.5946617871522903,0.4530670462284171,6,0,2,6,0,2,6,0,2,2,0,0.0,0.0,0,True,0.7017273157835007,0.10706552863121033,0.5946617871522903,0.003336116671562195,0.4890068545937538,0.006844125688076019,0.048988573253154755,0.0,0.5481756702065468,0.04648611694574356,0
funnel,,,0,bucketed,bucketed_nuts,random,4,4,4,,,,,,,,,,1,0.03,2,,,0.9,0.3328571170568466,0.8094213571043667,0.26942165940999985,0.3328571170568466,0.8094213571043667,6,0,2,6,0,2,6,0,2,1,0,0.0,0.0,0,True,0.3412613347172737,0.008404217660427094,0.3328571170568466,0.0034381449222564697,0.2535344660282135,0.0035196542739868164,0.02567027509212494,0.0,0.2861625403165817,0.04669457674026489,0
funnel,,,0,bucketed,bucketed_nuts,history,2,4,4,,,,,,,,,,1,0.03,2,,,0.9,0.657690979540348,0.4096477947717867,0.26942165940999985,0.657690979540348,0.4096477947717867,6,0,2,6,0,2,6,0,2,2,0,0.0,0.0,0,True,0.6073529794812202,0.0,0.657690979540348,0.0032537132501602173,0.5014733523130417,0.006998859345912933,0.04904220998287201,0.0,0.5607681348919868,0.0969228446483612,0
funnel,,,0,bucketed,bucketed_nuts,history,4,4,4,,,,,,,,,,1,0.03,2,,,0.9,0.32301101088523865,0.8340943507517817,0.26942165940999985,0.32301101088523865,0.8340943507517817,6,0,2,6,0,2,6,0,2,1,0,0.0,0.0,0,True,0.3347282335162163,0.01171722263097763,0.32301101088523865,0.003320246934890747,0.24449827522039413,0.003645852208137512,0.02648216485977173,0.0,0.2779465392231941,0.045064471662044525,0
